lebwohl_lasher.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.629, Time: 1.319707 s
         1544603 function calls (1520807 primitive calls) in 2.857 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      649    0.001    0.000    0.003    0.000 contextlib.py:299(helper)
     2686    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      187    0.001    0.000    0.008    0.000 colors.py:324(_to_rgba_no_colorcycle)
     5208    0.001    0.000    0.001    0.000 path.py:211(vertices)
     4973    0.001    0.000    0.001    0.000 artist.py:1557(<genexpr>)
     1404    0.001    0.000    0.001    0.000 transforms.py:110(__init__)
     2686    0.001    0.000    0.001    0.000 util.py:201(__call__)
  366/359    0.001    0.000    0.041    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       14    0.001    0.000    0.001    0.000 functools.py:965(__init__)
        3    0.001    0.000    0.037    0.012 core.py:1(<module>)
      414    0.001    0.000    0.002    0.000 lines.py:1276(set_xdata)
       94    0.001    0.000    0.011    0.000 __init__.py:1447(_preprocess_data)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
     1555    0.001    0.000    0.001    0.000 _function_base_impl.py:346(iterable)
      418    0.001    0.000    0.002    0.000 enum.py:1541(__and__)
2209/1746    0.001    0.000    0.002    0.000 {built-in method builtins.hash}
      710    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
     5534    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
       40    0.001    0.000    0.001    0.000 transforms.py:2837(nonsingular)
       64    0.001    0.000    0.005    0.000 deprecation.py:414(make_keyword_only)
     2920    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      272    0.001    0.000    0.001    0.000 cbook.py:259(__init__)
       12    0.001    0.000    0.103    0.009 axis.py:1287(_update_ticks)
       43    0.001    0.000    0.001    0.000 function_base.py:25(linspace)
      896    0.001    0.000    0.001    0.000 copy.py:231(_keep_alive)
  316/251    0.001    0.000    0.024    0.000 typing.py:378(inner)
      361    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1585(_get_spec)
      939    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      311    0.001    0.000    0.003    0.000 function_base.py:505(add_newdoc)
  128/117    0.001    0.000    0.031    0.000 _docstring.py:122(__call__)
      509    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
     1006    0.001    0.000    0.001    0.000 _linalg.py:142(_realType)
      356    0.001    0.000    0.002    0.000 transforms.py:1886(__init__)
    128/0    0.001    0.000    0.000          artist.py:53(draw_wrapper)
      154    0.001    0.000    0.001    0.000 transforms.py:2040(scale)
     1035    0.001    0.000    0.001    0.000 copyreg.py:98(__newobj__)
      642    0.001    0.000    0.001    0.000 enum.py:772(__delattr__)
      521    0.001    0.000    0.002    0.000 _ufunc_config.py:457(__exit__)
     8979    0.001    0.000    0.001    0.000 inspect.py:2782(name)
        1    0.001    0.001    0.002    0.002 dviread.py:1(<module>)
      134    0.001    0.000    0.002    0.000 fromnumeric.py:41(_wrapit)
        1    0.001    0.001    0.009    0.009 helpers.py:1(<module>)
      473    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      100    0.001    0.000    0.010    0.000 pyplot.py:209(_add_pyplot_note)
   917/23    0.001    0.000    0.854    0.037 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      108    0.001    0.000    0.001    0.000 lines.py:1144(set_linestyle)
  649/625    0.001    0.000    0.006    0.000 contextlib.py:132(__enter__)
        2    0.001    0.000    0.001    0.000 quiver.py:714(_h_arrows)
      643    0.001    0.000    0.012    0.000 colors.py:223(is_color_like)
      140    0.001    0.000    0.001    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
