lebwohl_lasher.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.525, Time: 33.687183 s
         4000197 function calls (3976313 primitive calls) in 36.599 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      710    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
      534    0.001    0.000    0.001    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
     2010    0.001    0.000    0.001    0.000 {built-in method numpy.lib.array_utils.normalize_axis_index}
   313/14    0.001    0.000    1.030    0.074 <frozen importlib._bootstrap_external>:989(exec_module)
      456    0.001    0.000    0.019    0.000 artist.py:1530(number_of_parameters)
     5702    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      356    0.001    0.000    0.004    0.000 inspect.py:798(_finddoc)
4550/1002    0.001    0.000    0.001    0.000 __init__.py:354(recursive_subclasses)
     5252    0.001    0.000    0.001    0.000 path.py:211(vertices)
      505    0.001    0.000    0.001    0.000 _linalg.py:192(_assert_stacked_2d)
       94    0.001    0.000    0.012    0.000 text.py:157(_reset_visual_defaults)
        1    0.001    0.001    0.002    0.002 ipaddress.py:1(<module>)
      209    0.001    0.000    0.042    0.000 _compiler.py:740(compile)
      118    0.001    0.000    0.005    0.000 font_manager.py:656(__init__)
      697    0.001    0.000    0.002    0.000 inspect.py:175(get_annotations)
       44    0.001    0.000    0.001    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
      418    0.001    0.000    0.002    0.000 enum.py:1541(__and__)
      230    0.001    0.000    0.005    0.000 overrides.py:83(verify_matching_signatures)
     4973    0.001    0.000    0.001    0.000 artist.py:1557(<genexpr>)
     1006    0.001    0.000    0.002    0.000 _linalg.py:142(_realType)
        1    0.001    0.001    0.007    0.007 artist.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {method 'close' of '_io.TextIOWrapper' objects}
       94    0.001    0.000    0.015    0.000 __init__.py:1447(_preprocess_data)
     3130    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
   306/12    0.001    0.000    0.006    0.000 core.py:806(_parseNoCache)
       64    0.001    0.000    0.001    0.000 transforms.py:365(bounds)
     82/2    0.001    0.000    0.002    0.001 __init__.py:1962(__call__)
        2    0.001    0.001    0.001    0.001 backend_agg.py:63(__init__)
      982    0.001    0.000    0.033    0.000 __init__.py:748(__setitem__)
