lebwohl_lasher_p_numba.py: Size: 150, Steps: 500, T*: 0.500: Order: 0.326, Time: 1.281241 s
         1839736 function calls (1807021 primitive calls) in 2.903 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1720    0.000    0.000    0.001    0.000 _parser.py:83(groups)
       41    0.000    0.000    0.003    0.000 typing.py:732(Literal)
      323    0.000    0.000    0.003    0.000 functions.py:266(augment)
     2461    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      171    0.000    0.000    0.001    0.000 _docscrape.py:67(read_to_condition)
      461    0.000    0.000    0.006    0.000 module.py:220(__next__)
      943    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.479    0.479 pyplot.py:1(<module>)
      320    0.000    0.000    0.003    0.000 dylib.py:15(add_symbol)
      266    0.000    0.000    0.003    0.000 typing.py:1130(__init__)
