lebwohl_lasher_p_numba.py: Size: 150, Steps: 500, T*: 0.500: Order: 0.365, Time: 6.711746 s
         7901459 function calls (7561971 primitive calls) in 12.662 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1310    0.004    0.000    0.039    0.000 interpreter.py:1798(_dispatch)
       42    0.004    0.000    0.018    0.000 ir_utils.py:2350(fixup_var_define_in_scope)
     9118    0.004    0.000    0.004    0.000 {method 'decode' of 'bytes' objects}
       95    0.004    0.000    2.414    0.025 __init__.py:1(<module>)
     1538    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:124(setdefault)
     5935    0.004    0.000    0.048    0.000 __init__.py:174(search)
      847    0.004    0.000    0.005    0.000 typeof.py:66(_typeof_buffer)
     3710    0.004    0.000    0.005    0.000 types.py:126(__new__)
     1183    0.004    0.000    0.123    0.000 lowering.py:1634(decref)
     1795    0.004    0.000    0.006    0.000 {method 'sub' of 're.Pattern' objects}
      658    0.004    0.000    0.009    0.000 npydecl.py:25(_handle_inputs)
    35571    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
      853    0.004    0.000    0.008    0.000 enum.py:383(__setitem__)
     5592    0.004    0.000    0.030    0.000 functions.py:230(_unlit_non_poison)
     3755    0.004    0.000    0.032    0.000 ssa.py:206(_run_ssa_block_pass)
      462    0.004    0.000    0.015    0.000 controlflow.py:662(_find_loops)
    12477    0.004    0.000    0.011    0.000 templates.py:368(<genexpr>)
     2414    0.004    0.000    0.074    0.000 targetconfig.py:188(__hash__)
     1175    0.004    0.000    0.015    0.000 instructions.py:205(descr)
      106    0.004    0.000    0.314    0.003 artist.py:158(_update_set_signature_and_docstring)
      280    0.004    0.000    0.119    0.000 module.py:11(parse_assembly)
   854/45    0.004    0.000    1.512    0.034 <frozen importlib._bootstrap>:911(_load_unlocked)
    13151    0.004    0.000    0.006    0.000 ir.py:259(__hash__)
     1158    0.004    0.000    0.050    0.000 context.py:353(resolve_value_type)
     1096    0.004    0.000    0.032    0.000 errors.py:534(__init__)
7791/7783    0.004    0.000    0.047    0.000 manager.py:40(__getitem__)
      864    0.004    0.000    0.040    0.000 builder.py:297(if_then)
     2497    0.004    0.000    0.006    0.000 ir.py:1553(get_definition)
  774/295    0.004    0.000    4.152    0.014 context.py:232(_resolve_user_function_type)
      920    0.004    0.000    0.034    0.000 cgutils.py:936(gep)
