lebwohl_lasher_s_numba.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.368, Time: 11.546142 s
         2352399 function calls (2288376 primitive calls) in 13.533 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      178    0.001    0.000    0.017    0.000 npydecl.py:92(generic)
     1797    0.001    0.000    0.007    0.000 values.py:537(__init__)
1829/1825    0.001    0.000    0.006    0.000 context.py:540(can_convert)
     1843    0.001    0.000    0.002    0.000 context.py:478(_lookup_global)
      424    0.001    0.000    0.017    0.000 templates.py:705(_get_impl)
      895    0.001    0.000    0.042    0.000 templates.py:356(apply)
   566/63    0.001    0.000    1.164    0.018 {built-in method builtins.__import__}
     1648    0.001    0.000    0.009    0.000 ffi.py:83(__exit__)
     2504    0.001    0.000    0.125    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      294    0.001    0.000    0.001    0.000 __init__.py:396(__getitem__)
     1341    0.001    0.000    0.002    0.000 builder.py:351(_insert)
4550/1002    0.001    0.000    0.002    0.000 __init__.py:354(recursive_subclasses)
       94    0.001    0.000    0.016    0.000 __init__.py:1447(_preprocess_data)
     1051    0.001    0.000    0.007    0.000 base.py:103(_match_arglist)
        1    0.001    0.001    0.001    0.001 ImageFile.py:359(StubHandler)
      227    0.001    0.000    0.047    0.000 _compiler.py:740(compile)
      583    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
     3386    0.001    0.000    0.003    0.000 abstract.py:127(__ne__)
     1668    0.001    0.000    0.002    0.000 registry.py:67(__getitem__)
     1834    0.001    0.000    0.005    0.000 _utils.py:16(register)
     1013    0.001    0.000    0.001    0.000 enum.py:837(__setattr__)
     4509    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      583    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     1829    0.001    0.000    0.001    0.000 utils.py:445(__setitem__)
       24    0.001    0.000    0.003    0.000 util.py:209(_collapse_string_to_ranges)
     1039    0.001    0.000    0.001    0.000 imputils.py:37(decorate)
     1028    0.001    0.000    0.003    0.000 weakref.py:414(__getitem__)
        1    0.001    0.001    0.007    0.007 artist.py:1(<module>)
      227    0.001    0.000    0.004    0.000 _compiler.py:511(_compile_info)
        1    0.001    0.001    0.003    0.003 getlimits.py:166(_register_known_types)
      535    0.001    0.000    0.002    0.000 numpy_support.py:148(as_dtype)
     3658    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      636    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     1200    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:82(remove)
     1534    0.001    0.000    0.002    0.000 templates.py:1258(register_global)
      265    0.001    0.000    0.013    0.000 overrides.py:142(decorator)
      504    0.001    0.000    0.001    0.000 {method 'set' of '_contextvars.ContextVar' objects}
     5766    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      478    0.001    0.000    0.004    0.000 copy.py:61(copy)
     1834    0.001    0.000    0.006    0.000 values.py:557(_set_name)
     2906    0.001    0.000    0.002    0.000 _parser.py:176(append)
     5534    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
     1648    0.001    0.000    0.008    0.000 ffi.py:77(__enter__)
     1002    0.001    0.000    0.002    0.000 _linalg.py:142(_realType)
     2422    0.001    0.000    0.020    0.000 ir.py:611(list_vars)
2011/1771    0.001    0.000    0.005    0.000 misc.py:63(unliteral)
     1533    0.001    0.000    0.003    0.000 contextlib.py:299(helper)
      454    0.001    0.000    0.002    0.000 enum.py:1541(__and__)
    11721    0.001    0.000    0.001    0.000 targetconfig.py:38(default)
      356    0.001    0.000    0.004    0.000 inspect.py:798(_finddoc)
      501    0.001    0.000    0.001    0.000 _linalg.py:192(_assert_stacked_2d)
